model,doc_idx,category,layer,tokens,budget,eval_positions,anchor_max_dP,dense_max_logit_diff,dense_mean_logit_diff,fixed_mean_k,fixed_mean_kl,fixed_mean_kl_improvement,fixed_max_kl,fixed_max_kl_improvement,fixed_mean_logit_l2,fixed_mean_logit_l2_improvement,fixed_max_logit_l2,fixed_max_logit_l2_improvement,projected_oracle_mean_k,projected_oracle_mean_kl,projected_oracle_mean_kl_improvement,projected_oracle_max_kl,projected_oracle_max_kl_improvement,projected_oracle_mean_logit_l2,projected_oracle_mean_logit_l2_improvement,projected_oracle_max_logit_l2,projected_oracle_max_logit_l2_improvement,mass_mean_k,mass_mean_kl,mass_mean_kl_improvement,mass_max_kl,mass_max_kl_improvement,mass_mean_logit_l2,mass_mean_logit_l2_improvement,mass_max_logit_l2,mass_max_logit_l2_improvement,UTC_abs_mean_k,UTC_abs_mean_kl,UTC_abs_mean_kl_improvement,UTC_abs_max_kl,UTC_abs_max_kl_improvement,UTC_abs_mean_logit_l2,UTC_abs_mean_logit_l2_improvement,UTC_abs_max_logit_l2,UTC_abs_max_logit_l2_improvement,UTC_rel_mean_k,UTC_rel_mean_kl,UTC_rel_mean_kl_improvement,UTC_rel_max_kl,UTC_rel_max_kl_improvement,UTC_rel_mean_logit_l2,UTC_rel_mean_logit_l2_improvement,UTC_rel_max_logit_l2,UTC_rel_max_logit_l2_improvement,UTC_rel_hat_mean_k,UTC_rel_hat_mean_kl,UTC_rel_hat_mean_kl_improvement,UTC_rel_hat_max_kl,UTC_rel_hat_max_kl_improvement,UTC_rel_hat_mean_logit_l2,UTC_rel_hat_mean_logit_l2_improvement,UTC_rel_hat_max_logit_l2,UTC_rel_hat_max_logit_l2_improvement
gpt2,82,comp.graphics,0,128,8,63,8.880767283503399e-07,0.003872394561767578,8.712395356269553e-05,8.0,0.11017739027738571,0.0,1.6037156581878662,0.0,11596.9482421875,0.0,66730.9375,0.0,8.0,0.029886046424508095,0.7287461034494814,0.1440144181251526,0.9101995310765482,8341.8076171875,0.2806894156135331,68962.65625,-0.033443539587616256,8.0,0.16977061331272125,-0.5408843219584523,2.1688106060028076,-0.3523660475158519,14179.05078125,-0.22265362275820988,67741.6640625,-0.01514629646106802,8.0,0.03383271396160126,0.6929250740426591,0.19280868768692017,0.8797737699307705,8893.69140625,0.23310070714151887,68978.9140625,-0.033687171898341806,8.0,0.037743907421827316,0.6574260170185354,0.18454568088054657,0.8849261838042564,8782.0341796875,0.24272886312106456,69507.3515625,-0.0416061000566641,8.0,0.03498673439025879,0.6824508703448575,0.1318601369857788,0.9177783565854963,9267.185546875,0.20089446349663487,68863.578125,-0.03195879909524724
gpt2,82,comp.graphics,0,128,16,63,8.880767283503399e-07,0.003872394561767578,8.712395356269553e-05,16.0,0.025494741275906563,0.0,0.2825898230075836,0.0,7213.17578125,0.0,71224.9921875,0.0,16.0,0.012189235538244247,0.5218921656693372,0.09733973443508148,0.6555440907280328,4879.2900390625,0.3235586949446353,69861.984375,0.01913665092320227,16.0,0.03349189832806587,-0.31367869026844786,0.34881603717803955,-0.23435456190748472,8052.3349609375,-0.1163369929052358,70708.0859375,0.007257371803414792,16.0,0.013888576999306679,0.455237578251799,0.10509510338306427,0.6281001832813918,5196.39794921875,0.27959637934703907,69868.7734375,0.019041332379928555,16.0,0.01443777047097683,0.4336961369903747,0.12651655077934265,0.5522961533687382,4648.59130859375,0.35554165743785926,67808.171875,0.04797221042166222,16.0,0.015317320823669434,0.39919685169957597,0.13478273153305054,0.5230446372818123,5082.08203125,0.29544458843490073,70510.46875,0.010031920194796484
gpt2,82,comp.graphics,0,128,32,63,8.880767283503399e-07,0.003872394561767578,8.712395356269553e-05,32.0,0.006863076705485582,0.0,0.12368825078010559,0.0,3399.959228515625,0.0,64461.0,0.0,32.0,0.004356033634394407,0.36529433935764155,0.026202503591775894,0.7881568910020483,2646.567626953125,0.22158842236805887,53385.5859375,0.1718157345138921,32.0,0.006162627134472132,0.10206057735790552,0.07721877843141556,0.37569835498202653,3069.52197265625,0.09718859364194177,62373.8515625,0.032378468182311826,32.0,0.005206627771258354,0.241356610935624,0.07651884108781815,0.38135723801402743,2940.082763671875,0.1352594057560289,62685.55078125,0.0275429983827431,32.0,0.004454301670193672,0.3509759745751643,0.035514771938323975,0.7128686701094791,2660.68798828125,0.21743532511627517,57794.0390625,0.10342627228091406,32.0,0.00458705797791481,0.33163241870101423,0.055211059749126434,0.5536272895694734,2679.72314453125,0.2118366826118736,58075.9765625,0.09905250364561513
gpt2,82,comp.graphics,5,128,8,63,4.811635310186801e-07,0.0006597042083740234,2.3472870452678762e-05,8.0,0.002524525858461857,0.0,0.016524281352758408,0.0,2620.03369140625,0.0,60069.83203125,0.0,8.0,0.0019887113012373447,0.21224363990114692,0.011726515367627144,0.2903464231036208,922.4329223632812,0.647930892877876,20823.39453125,0.6533468826678741,8.0,0.002486247569322586,0.015162565679795792,0.024028968065977097,-0.45416115551469516,587.5648193359375,0.7757415023848132,7331.11474609375,0.8779567963120006,8.0,0.002073276089504361,0.17874634456405736,0.012923375703394413,0.2179160214288468,980.17919921875,0.625890612615497,22462.740234375,0.6260562169927617,8.0,0.0026995723601430655,-0.06933836747778876,0.015904009342193604,0.03753700371733637,1205.7398681640625,0.5397998613075445,34655.9609375,0.42307211847253035,8.0,0.0022194168996065855,0.12085792578934729,0.012228041887283325,0.2599955407293951,1261.22216796875,0.5186236833115628,37734.16796875,0.37182830894017427
gpt2,82,comp.graphics,5,128,16,63,4.811635310186801e-07,0.0006597042083740234,2.3472870452678762e-05,16.0,0.0010401956969872117,0.0,0.0058755516074597836,0.0,1375.1988525390625,0.0,40084.703125,0.0,16.0,0.0011617281707003713,-0.11683616271934416,0.009481998160481453,-0.6138056124709741,290.56964111328125,0.7887071818182545,5236.67529296875,0.8693597585932289,16.0,0.0012338311644271016,-0.18615292103277215,0.013352654874324799,-1.2725789451618215,272.1390686035156,0.8021092963384469,2266.36865234375,0.9434605104776175,16.0,0.0010357567807659507,0.004267385679557978,0.010483413934707642,-0.7842433587678086,335.3116455078125,0.7561722474617263,4962.6689453125,0.87619544219058,16.0,0.0011402221862226725,-0.09616122189812382,0.00973382405936718,-0.6566655711114533,355.9100036621094,0.7411937895345213,5958.2607421875,0.851358241980556,16.0,0.0009580998448655009,0.07892346830456087,0.006000717636197805,-0.021302855816823563,433.650634765625,0.6846633241694715,8874.4140625,0.7786084623147624
gpt2,82,comp.graphics,5,128,32,63,4.811635310186801e-07,0.0006597042083740234,2.3472870452678762e-05,32.0,0.00026562981656752527,0.0,0.0033049960620701313,0.0,490.7057800292969,0.0,11780.7431640625,0.0,32.0,0.00032991054467856884,-0.24199364718042826,0.0020752474665641785,0.37208776422434897,401.95733642578125,0.18085876958330716,9925.17578125,0.15750851682031086,32.0,0.0003450835938565433,-0.2991146789005903,0.003361000679433346,-0.016945441480537005,220.56536865234375,0.5505140195430851,3635.760009765625,0.6913810988718763,32.0,0.0002830088487826288,-0.06542575844713427,0.0026919078081846237,0.18550347485179486,300.5401611328125,0.3875349071395303,6195.48876953125,0.4741003446683424,32.0,0.000289301504381001,-0.08911532643195641,0.001294243149459362,0.6083979753220359,421.18548583984375,0.14167408866735276,10429.748046875,0.11467825911940344,32.0,0.000270168500719592,-0.01708650109658505,0.0013004029169678688,0.6065342007840873,430.0450134277344,0.12361942546904758,10847.7919921875,0.07919289631243254
gpt2,82,comp.graphics,11,128,8,63,6.444411023154295e-07,0.0001220703125,7.1997060331341345e-06,8.0,0.014762960374355316,0.0,0.09953968971967697,0.0,1226.7503662109375,0.0,6972.06201171875,0.0,8.0,0.0735800713300705,-3.984100035781859,0.7559310793876648,-6.594267990150592,902.5694580078125,0.26425988296577585,5483.84619140625,0.21345418583642595,8.0,0.01110612228512764,0.24770357682324717,0.07897793501615524,0.20656840262841492,951.3355712890625,0.22450761174219036,6641.490234375,0.04741377468934149,8.0,0.008880271576344967,0.3984762302978978,0.050556544214487076,0.49209662641239804,907.0596923828125,0.2605996155644552,5493.45849609375,0.21207549691034588,8.0,0.07255179435014725,-3.9144475437444584,0.7724526524543762,-6.760247742681862,1006.4466552734375,0.17958316296896804,5330.10595703125,0.23550508471205145,8.0,0.02478305622935295,-0.6787321513375804,0.26183634996414185,-1.6304718319046771,1115.8502197265625,0.09040155971333608,6400.72509765625,0.08194661968040273
gpt2,82,comp.graphics,11,128,16,63,6.444411023154295e-07,0.0001220703125,7.1997060331341345e-06,16.0,0.006610957905650139,0.0,0.03664129227399826,0.0,946.1481323242188,0.0,8644.271484375,0.0,16.0,0.07083781063556671,-9.715211266891336,0.76664799451828,-19.923061031401343,489.4568786621094,0.48268472775002413,2961.233642578125,0.6574339841210772,16.0,0.00398672791197896,0.39695155091342327,0.02393648959696293,0.34673456880370546,559.266845703125,0.4089013901773684,3447.97509765625,0.6011260053679878,16.0,0.004969435278326273,0.24830329443194876,0.025737406685948372,0.2975846350208452,507.7281799316406,0.4633734797061817,3576.1591796875,0.5862972158901296,16.0,0.017084306105971336,-1.5842406425504567,0.26588213443756104,-6.256352544810184,702.42822265625,0.2575917040276444,5464.84521484375,0.3678073132337687,16.0,0.01039041206240654,-0.5716953897900701,0.07447823882102966,-1.0326313347272857,705.4877319335938,0.25435805680812495,5777.39111328125,0.33165089461567643
gpt2,82,comp.graphics,11,128,32,63,6.444411023154295e-07,0.0001220703125,7.1997060331341345e-06,32.0,0.002250861143693328,0.0,0.019172662869095802,0.0,530.5353393554688,0.0,5825.31689453125,0.0,32.0,0.04955487698316574,-21.015963588874953,0.46464693546295166,-23.2348670414432,222.18450927734375,0.5812069568310587,932.0309448242188,0.8400033917984444,32.0,0.0009165283991023898,0.5928098889305524,0.005039474461227655,0.7371531280951731,235.18658447265625,0.556699493838851,1220.671142578125,0.7904541221226816,32.0,0.0011989655904471874,0.4673302732127387,0.007268985733389854,0.6208671803692616,218.70639038085938,0.5877628234029441,1179.4678955078125,0.7975272561369005,32.0,0.004254466388374567,-0.8901505320730809,0.04010218754410744,-1.09163368791863,306.5407409667969,0.4222048594553496,1751.5604248046875,0.6993192891447614,32.0,0.0036273321602493525,-0.6115308447225849,0.032175906002521515,-0.6782178992144849,304.6804504394531,0.42571129981727485,1800.068115234375,0.6909922416539671
gpt2,93,comp.os.ms-windows.misc,0,128,8,63,1.0351464824198686e-06,0.0004730224609375,2.667916487553157e-05,8.0,0.16045761108398438,0.0,1.2616772651672363,0.0,3896.0244140625,0.0,64491.75390625,0.0,8.0,0.2452506124973297,-0.5284448698975346,1.7109545469284058,-0.35609525047724255,4553.61083984375,-0.16878395920921996,64018.55078125,0.007337420621059243,8.0,0.15879639983177185,0.010352960143118706,1.1316078901290894,0.10309242991780954,3986.130126953125,-0.023127604787432254,62780.45703125,0.02653512691696469,8.0,0.17289449274539948,-0.07750882976131046,1.159067988395691,0.08132767356947224,3997.708740234375,-0.026099509490969952,63949.0390625,0.008415259484785165,8.0,0.17161448299884796,-0.06953158431994866,1.2516955137252808,0.007911493467889774,4139.32568359375,-0.062448599822184425,57071.29296875,0.11506061609499618,8.0,0.17223218083381653,-0.07338118566198326,1.2613022327423096,0.00029724909474138084,4025.11376953125,-0.03313361050890973,64815.5390625,-0.005020566764561529
gpt2,93,comp.os.ms-windows.misc,0,128,16,63,1.0351464824198686e-06,0.0004730224609375,2.667916487553157e-05,16.0,0.04956716299057007,0.0,0.6505120992660522,0.0,1267.2109375,0.0,15819.328125,0.0,16.0,0.06509945541620255,-0.31335851173462204,1.382758617401123,-1.1256462700097911,1143.0885009765625,0.09794930966135029,11808.6494140625,0.2535302813903483,16.0,0.06863121688365936,-0.38461055147973955,0.9184912443161011,-0.4119510541808513,1618.7913818359375,-0.2774442943410418,18697.626953125,-0.18194823480374578,16.0,0.04709066450595856,0.04996248191736641,0.633107602596283,0.026755069874036308,1244.058349609375,0.018270508252005158,13282.1884765625,0.16038226329144434,16.0,0.04777291789650917,0.03619826082041944,0.49170637130737305,0.24412417253707286,1498.5145263671875,-0.18252966575833995,16853.791015625,-0.06539234046167808,16.0,0.04398561269044876,0.11260580520178598,0.45858410000801086,0.29504139811478736,1261.0997314453125,0.004822564163424858,13441.4921875,0.15031206880033032
gpt2,93,comp.os.ms-windows.misc,0,128,32,63,1.0351464824198686e-06,0.0004730224609375,2.667916487553157e-05,32.0,0.013843959197402,0.0,0.14041069149971008,0.0,714.5271606445312,0.0,5019.67919921875,0.0,32.0,0.00851208996027708,0.3851404905993594,0.07940540462732315,0.4344775046742997,576.0010375976562,0.19387103902659075,5676.154296875,-0.13078028925801122,32.0,0.02005903050303459,-0.4489374186250803,0.3597732186317444,-1.562292192916714,678.207763671875,0.05082997396473321,7330.01708984375,-0.4602560838916907,32.0,0.009688561782240868,0.30015961156118887,0.11989184468984604,0.14613450436504982,505.7787780761719,0.2921489819646047,5026.32373046875,-0.0013236963929954548,32.0,0.00892544724047184,0.3552821766372428,0.08869572728872299,0.36831215385826843,522.162353515625,0.2692197270085377,5743.3271484375,-0.14416219055022017,32.0,0.008447100408375263,0.38983492453802726,0.0873621478676796,0.3778098595301058,517.8290405273438,0.2752843152102967,5839.814453125,-0.16338399753392485
